;Chinese-English
查找|Search
开料Y轴CANopen PDO 存取时，Index错误|Index error during Y-axis CANopen PDO access
开料Y轴CANopen PDO 存取时，Sub-Index错误|Sub-Index error during Y-axis CANopen PDO access
开料Y轴CANopen PDO 存取时，资料Size错误|Data size error when accessing YCAN CANopen PDO
开料Y轴CANopen PDO 存取时，资料范围错误|Data range error during Y-axis CANopen PDO access
开料Y轴CANopen PDO 物件是唯读，不可写入|Y-axis CANopen PDO objects are read-only and cannot be written
开料Y轴CANopen PDO 物件，不允许PDO|Y-axis CANopen PDO object, PDO is not allowed
开料Y轴CANopen PDO 物件，Servo On时，不允许写入|Y-axis CANopen PDO object, when Servo On, write is not allowed
开料Y轴由EEPRON读取CANopen PDO物件时发生错误|Error occurs when Y-axis reads CANopen PDO object by YEPRON
开料Y轴CANopen PDO物件，写入EEPROM时错误|Y-axis CANopen PDO object, error occurs when writing to EEPROM
开料Y轴CANopen PDO物件，EEPROM的位置超过限制|Y-axis CANopen PDO object, EEPROM location exceeds limit
开料Y轴CANopen PDO物件，EEPROM的CRC计算错误|Y-axis CANopen PDO object, CRC calculation error occurs for EEPROM
开料Y轴CANopen PDO物件，写入密码错误|Y-axis CANopen PDO object, password writing error
开料Y轴心跳监控或节点保护功能错误（Servo On）|Y-axis heartbeat monitoring or node protection function error (Servo On)
开料Y轴心跳监控或节点保护功能错误（Servo Off）|Y-axis heartbeat monitoring or node protection function error (Servo Off)
开料Y轴CAN Bus硬体异常（警告）|CAN bus hardware error on Y-axis (warning)
开料Y轴CAN Bus硬体异常（Bus-off）|Y-axis CAN Bus hardware abnormality (Bus-off)
开料Y轴CANNopen资料初始错误|Initial error of Y-axis CANNopen data
开料Y轴PR 命令 Type 8 指令来源组超出范围|Y-axis PR command Type 8 instruction source group is out of range
开料Y轴PR 命令 Type 8 指令来源参数号码超出范围|Y-axis PR command Type 8 instruction source parameter number is out of range
开料Y轴PR 命令 Type 8 指令参数设定错误|Y-axis PR command Type 8 instruction parameter setting error
开料Y轴写入参数：唯读|Y-axis write parameters: read only
开料Y轴写入参数：参数锁定|Y-axis write parameter: parameter lock
开料Y轴PR 命令 Type 8指令设定来源监视项目代码超出范围|Y-axis PR command Type 8 instruction setting source monitoring item code is out of range
开料Y轴PR 命令异常|Y-axis PR command error
开料Y轴分度坐标未定义|Y-axis indexing coordinates are undefined
开料Y轴软体正极限|Y-axis software positive limit
开料Y轴软体负极限|Y-axis software negative limit
开料Y轴计数器溢位|Y-axis counter overflow
开料Y轴Servo OFF异常|Y-axis Servo OFF error
开料Y轴CANopen同步失效（Servo On）|Y-axis CANopen synchronization failed (Servo On)
开料Y轴CANopen同步信号过快|Y-axis CANopen synchronization signal is too fast
开料Y轴CANopen同步信号超时|Y-axis CANopen synchronization signal timed out
开料Y轴XCAN open命令失效（Servo On）|Y-axis XCAN open command is invalid (Servo On)
开料Y轴SUNC Period 错误（Servo On）|Y-axis SUNC Period error (Servo On)
开料Y轴CANopen同步失效（Servo Off）|CANopen synchronization failure of Y-axis (Servo Off)
开料Y轴CANopen同步信号太快（Servo Off）|Y-axis CANopen synchronization signal is too fast (Servo Off)
开料Y轴CANopen同步信号超时（Servo Off）|Y-axis CANopen synchronization signal timed out (Servo Off)
开料Y轴CANopen IP 命令失效（Servo Off）|CANopen IP command of Y-axis is invalid (Servo Off)
开料Y轴SYNC period错误（Servo Off）|Y-axis SYNC period error（Servo Off）
开料Y轴分度坐标错误|Y-axis indexing coordinate error
开料Y轴Servo On时收到NMT Reset 命令|Receive NMT Reset command when Y-axis Servo On
开料Y轴PR 特殊滤波设置太大|PR special filter of Y-axis is set too large
开料Y轴系统故障|Y-axis system failure
开料Z轴过电流|Z-axis overcurrent
开料Z轴电机匹配错误|Z-axis motor mismatch
开料Z轴回生错误|Z-axis retrogradation error
开料Z轴过速度|Z-axis over speed
开料Z轴异常脉波控制命令|Z-axis abnormal pulse control command
开料Z轴位置检出器异常|Z-axis position detector is abnormal
开料Z轴校正异常|Z-axis correction error
开料Z轴紧急停止|Z-axis emergency stop
开料Z轴反向极限异常|Z-axis reverse limit error
开料Z轴正向极限异常|Z-axis positive limit error
开料Z轴IGBT过热|Z-axis IGBT overheating
开料Z轴记忆体异常|Z-axis memory abnormality
开料Z轴检出器输出异常|Z-axis detector output error
开料Z轴串列通讯异常|Z-axis serial communication error
开料Z轴串列通讯逾时|Z-axis serial communication timeout
开料Z轴主回路电源异常|Z-axis main circuit power supply error
开料Z轴预先过载警告|Z-axis pre-overload warning
开料Z轴编码器初始磁场错误|Initial magnetic field error for Z-axis encoder
开料Z轴编码器内部错误|Internal error for Z-axis encoder
开料Z轴编码器内部资料可靠度错误|Internal data reliability error for Z-axis encoder
开料Z轴编码器内部重置错误|Internal reset error of Z-axis encoder
开料Z轴编码器高电压错误或编码器内部错误|Z-axis encoder high voltage error or encoder internal error
开料Z轴格雷码错误|Z-axis gray code error
开料Z轴电机碰撞错误|Z-axis motor collision error
开料Z轴电机U、V、W接线错误|Z-axis motor U, V, W wiring error
开料Z轴编码器内部通讯异常|Internal communication error of Z-axis encoder
开料Z轴全闭环位置控制误差过大|Full closed loop position control error of Z-axis is too large
开料Z轴光学尺断线|Z-axis optical ruler broken
开料Z轴类比速度电压输入过高|Z-axis analog speed voltage input is too high
开料Z轴驱动器功能使用警告|Z-axis driver function use warning
开料Z轴电子齿轮比设定错误|electronic gear ratio setting of Z-axis is incorrect
开料Z轴绝对位置遗失|Absolute position of Z-axis is missing
开料Z轴编码器低电压错误|Low voltage error of Z-axis encoder
开料Z轴绝对型位置圈数溢位|Absolute position cycle number of Z-axis overflow
开料Z轴温度警告|Z-axis temperature warning
开料Z轴绝对型资料I/O传输错误|Absolute data I/O transmission error of Z-axis overflow
开料Z轴马达型式错误|Z-axis motor type error
开料Z轴绝对值位置未初始化|Absolute value position of Z-axis overflow is not initialized
开料Z轴编码器处置未完成警告|Z-axis encoder disposal incompletion
开料Z轴驱动器输出电流过大|Z-axis driver output current is too large
开料Z轴回生异常|Z-axis retrogradation error
开料Z轴未接外部回生电阻|Z-axis is not connected to external retrogradation resistance
开料Z轴DSP韧体升级|Z-axis DSP firmware upgrade
开料Z轴CANopen SDO 接收溢位|Z axis CANopen SDO receives overflow.
开料Z轴CANopen PDO 接收溢位|Z-axis CANopen PDO receives overflow
开料Z轴CANopen PDO 存取时，Index错误|Index error during Z-axis CANopen PDO access
开料Z轴CANopen PDO 存取时，Sub-Index错误|Sub-Index error during Z-axis CANopen PDO access
开料Z轴CANopen PDO 存取时，资料Size错误|Data size error when Zopen CANopen PDO is accessed
开料Z轴CANopen PDO 存取时，资料范围错误|Data range error during Z-axis CANopen PDO access
开料Z轴CANopen PDO 物件是唯读，不可写入|Z-axis CANopen PDO objects are read-only and cannot be written
开料Z轴CANopen PDO 物件，不允许PDO|CANopen PDO object for Z-axis, PDO is not allowed
开料Z轴CANopen PDO 物件，Servo On时，不允许写入|CANopen PDO object of Z-axis, when Servo On, write is not allowed
开料Z轴由EEPRON读取CANopen PDO物件时发生错误|An error occurrs when Z axis reads the CANopen PDO object by EEPRON
开料Z轴CANopen PDO物件，写入EEPROM时错误|CANopen PDO object of Z-axis, error occurs in writing to EEPROM
开料Z轴CANopen PDO物件，EEPROM的位置超过限制|CANopen PDO object of Z-axis, EEPROM location exceeds limit
开料Z轴CANopen PDO物件，EEPROM的CRC计算错误|Z-axis CANopen PDO object, CRC calculation error of EEPROM
开料Z轴CANopen PDO物件，写入密码错误|CANopen PDO object of Z-axis, password writing error
开料Z轴心跳监控或节点保护功能错误（Servo On）|Z-axis heartbeat monitoring or node protection function error (Servo On)
开料Z轴心跳监控或节点保护功能错误（Servo Off）|Z-axis heartbeat monitoring or node protection function error (Servo Off)
开料Z轴CAN Bus硬体异常（警告）|Z-axis CAN Bus hardware error (warning)
开料Z轴CAN Bus硬体异常（Bus-off）|Z axis CAN hardware error (Bus off)
开料Z轴CANNopen资料初始错误|Initial error of Z-axis CANNopen data
开料Z轴PR 命令 Type 8 指令来源组超出范围|Z-axis PR command Type 8 instruction source group is out of range
开料Z轴PR 命令 Type 8 指令来源参数号码超出范围|Z-axis PR command Type 8 instruction source parameter number is out of range
开料Z轴PR 命令 Type 8 指令参数设定错误|Z-axis PR command Type 8 instruction parameter setting error
开料Z轴写入参数：唯读|Z-axis write parameter: read only
开料Z轴写入参数：参数锁定|Z-axis write parameter: parameter lock
开料Z轴PR 命令 Type 8指令设定来源监视项目代码超出范围|Z-axis PR command Type 8 command setting source monitoring item code is out of range
开料Z轴PR 命令异常|Z-axis PR command error
开料Z轴分度坐标未定义|Z-axis indexing coordinates are undefined
开料Z轴软体正极限|Z-axis software positive limit
开料Z轴软体负极限|Z-axis software negative limit
开料Z轴计数器溢位|Z-axis counter overflow
开料Z轴Servo OFF异常|Z-axis Servo Off error
开料Z轴CANopen同步失效（Servo On）|Z-axis CANopen synchronization failure (Servo On)
开料Z轴CANopen同步信号过快|Z-axis CANopen synchronization signal is too fast
开料Z轴CANopen同步信号超时|Z-axis CANopen synchronization signal timed out
开料Z轴XCAN open命令失效（Servo On）|Z-axis XCAN open command is invalid (Servo On)
开料Z轴SUNC Period 错误（Servo On）|Z-axis SUNC Period error (Servo On)
开料Z轴CANopen同步失效（Servo Off）|Z-axis CANopen synchronization failure (Servo Off)
开料Z轴CANopen同步信号太快（Servo Off）|Z-axis CANopen synchronization signal is too fast (Servo Off)
开料Z轴CANopen同步信号超时（Servo Off）|Z-axis CANopen synchronization signal timed out (Servo Off)
开料Z轴CANopen IP 命令失效（Servo Off）|Z-axis CANopen IP command is invalid (Servo Off)
开料Z轴SYNC period错误（Servo Off）|Z-axis SYNC period error (Servo Off)
开料Z轴分度坐标错误|Z-axis indexing coordinate error
开料Z轴Servo On时收到NMT Reset 命令|Z axis NMT Reset command is received when Servo On.
开料Z轴PR 特殊滤波设置太大|PR special filter of Z-axis is set too large
开料Z轴系统故障|Z-axis system failure
开料龙门轴过电流|C-axis overcurrent
开料龙门轴电机匹配错误|C-axis motor mismatch
开料龙门轴回生错误|C axis Retrogradation error
开料龙门轴过速度|C-axis overspeed
开料龙门轴异常脉波控制命令|Abnormal pulse command of C-axis
开料龙门轴位置检出器异常|C-axis position detector is abnormal
开料龙门轴校正异常|C-axis correction error
开料龙门轴紧急停止|C-axis emergency stop
开料龙门轴反向极限异常|C-axis reverse limit error
开料龙门轴正向极限异常|C-axis positive limit error
开料龙门轴IGBT过热|C-axis IGBT overheating
开料龙门轴记忆体异常|C-axis memory abnormality
开料龙门轴检出器输出异常|C-axis detector output is abnormal
开料龙门轴串列通讯异常|Serial communication error of C-axis
开料龙门轴串列通讯逾时|Serial communication timeout of C-axis
开料龙门轴主回路电源异常|Main circuit power supply error of C-axis
开料龙门轴预先过载警告|Pre-overlaod warning for C-axis
开料龙门轴编码器初始磁场错误|Initial magnetic field error of C-axis encoder
开料龙门轴编码器内部错误|Internal error of C-axis encoder
开料龙门轴编码器内部资料可靠度错误|Internal data reliability error of C-axis encoder
开料龙门轴编码器内部重置错误|Internal reset error of C-axis encoder
开料龙门轴编码器高电压错误或编码器内部错误|High voltage error or internal error of C-axis encoder
开料龙门轴格雷码错误|C-axis gray code error
开料龙门轴电机碰撞错误|C-axis motor collision error
开料龙门轴电机U、V、W接线错误|C-axis motor U, V, W wiring error
开料龙门轴编码器内部通讯异常|Internal communication error of C-axis encoder
开料龙门轴全闭环位置控制误差过大|Full closed loop position control error of C-axis is too large
开料龙门轴光学尺断线|Optical ruler of C-axis broken
开料龙门轴类比速度电压输入过高|C-axis analog speed voltage input is too high
开料龙门轴驱动器功能使用警告|C-axis driver function use warning
开料龙门轴电子齿轮比设定错误|Electronic gear ratio setting of C-axis is incorrect
开料龙门轴绝对位置遗失|Z-axis absolute position is missing
开料龙门轴编码器低电压错误|Low voltage error of C-axis encoder
开料龙门轴绝对型位置圈数溢位|Absolute position cycle number of C-axis overflow
开料龙门轴温度警告|C-axis temperature warning
开料龙门轴绝对型资料I/O传输错误|Absolute data I/O transmission error of C-axis
开料龙门轴马达型式错误|C-axis motor type error
开料龙门轴绝对值位置未初始化|C-axis absolute value position is not initialized
开料龙门轴编码器处置未完成警告|C-axis encoder disposal incompletion
开料龙门轴驱动器输出电流过大|C-axis driver output current is too large
开料龙门轴回生异常|C-axis retrogradation error
开料龙门轴未接外部回生电阻|C-axis is not connected to external retrogradation resistance
开料龙门轴DSP韧体升级|C-axis DSP firmware upgrade
开料龙门轴CANopen SDO 接收溢位|C-axis CANopen SDO receives overflow.
开料龙门轴CANopen PDO 接收溢位|C-axis CANopen PDO receive overflow
开料龙门轴CANopen PDO 存取时，Index错误|Index error during C-axis CANopen PDO access
开料龙门轴CANopen PDO 存取时，Sub-Index错误|Sub-Index error during C-axis CANopen PDO access
开料龙门轴CANopen PDO 存取时，资料Size错误|Data size error when Copen CANopen PDO is accessed
开料龙门轴CANopen PDO 存取时，资料范围错误|Data range error during C-axis CANopen PDO access
开料龙门轴CANopen PDO 物件是唯读，不可写入|C-axis CANopen PDO objects are read-only and cannot be written
开料龙门轴CANopen PDO 物件，不允许PDO|CANopen PDO object for C-axis, PDO is not allowed
开料龙门轴CANopen PDO 物件，Servo On时，不允许写入|CANopen PDO object of C-axis, when Servo On, write is not allowed
开料龙门轴由EEPRON读取CANopen PDO物件时发生错误|An error occurred when C-axis reads CANopen PDO object by EEPRON
开料龙门轴CANopen PDO物件，写入EEPROM时错误|CANopen PDO object of C-axis, error occurs in writing to EEPROM
开料龙门轴CANopen PDO物件，EEPROM的位置超过限制|CANopen PDO object of C-axis, EEPROM location exceeds limit
开料龙门轴CANopen PDO物件，EEPROM的CRC计算错误|C-axis CANopen PDO object, CRC calculation error of EEPROM
开料龙门轴CANopen PDO物件，写入密码错误|CANopen PDO object of C-axis, password writing error
开料龙门轴开料X轴心跳监控或节点保护功能错误（Servo On）|C-axis heartbeat monitoring or node protection function error (Servo On)
开料龙门轴开料X轴心跳监控或节点保护功能错误（Servo Off）|C-axis heartbeat monitoring or node protection function error (Servo Off)
开料龙门轴CAN Bus硬体异常（警告）|C-axis CAN Bus hardware error (warning)
开料龙门轴CAN Bus硬体异常（Bus-off）|C-axis CAN Bus off hardware error (Bus-off)
开料龙门轴CANNopen资料初始错误|Initial error of C-axis CANNopen data
开料龙门轴PR 命令 Type 8 指令来源组超出范围|C-axis PR command Type 8 instruction source group is out of range
开料龙门轴PR 命令 Type 8 指令来源参数号码超出范围|C-axis PR command Type 8 instruction source parameter number is out of range
开料龙门轴PR 命令 Type 8 指令参数设定错误|C-axis PR command Type 8 instruction parameter setting error
开料龙门轴写入参数：唯读|C-axis write parameter: read only
开料龙门轴写入参数：参数锁定|C-axis write parameter: parameter lock
开料龙门轴PR 命令 Type 8指令设定来源监视项目代码超出范围|C-axis PR command Type 8 command setting source monitoring item code is out of range
开料龙门轴PR 命令异常|C-axis PR command error
开料龙门轴分度坐标未定义|C-axis indexing coordinates are undefined
开料龙门轴软体正极限|C-axis software positive limit
开料龙门轴软体负极限|C-axis software negative limit
开料龙门轴计数器溢位|C-axis counter overflow
开料龙门轴Servo OFF异常|C-axis Servo Off error
开料龙门轴CANopen同步失效（Servo On）|C-axis CANopen synchronization failure (Servo On)
开料龙门轴CANopen同步信号过快|C-axis CANopen synchronization signal is too fast
开料龙门轴CANopen同步信号超时|C-axis CANopen synchronization signal timed out
开料龙门轴XCAN open命令失效（Servo On）|C-axis XCAN open command is invalid (Servo On)
开料龙门轴SUNC Period 错误（Servo On）|C axis SYNC Period is in error.（Servo On）
开料龙门轴CANopen同步失效（Servo Off）|C-axis CANopen synchronization failure (Servo Off)
开料龙门轴CANopen同步信号太快（Servo Off）|C-axis CANopen synchronization signal is too fast (Servo Off)
开料龙门轴CANopen同步信号超时（Servo Off）|C-axis CANopen synchronization signal timed out (Servo Off)
开料龙门轴CANopen IP 命令失效（Servo Off）|C-axis CANopen IP command is invalid (Servo Off)
开料龙门轴SYNC period错误（Servo Off）|C-axis SYNC period error (Servo Off)
开料龙门轴分度坐标错误|C-axis indexing coordinate error
开料龙门轴Servo On时收到NMT Reset 命令|C-axis NMT Reset command is received when Servo On
开料龙门轴PR 特殊滤波设置太大|C-axis PR special filter is set too large
开料龙门轴系统故障|C-axis system failure
归零标志位置未脱离限位|The position marked by zero does not leave the limit
Follow API异常|Follow API error
龙门轴发生异常、未Servo on|C-axis error, not Servo on
刀库轴过电流|T-axis overcurrent
刀库轴电机匹配错误|T-axis motor mismatch
刀库轴回生错误|T axis retrogradation error
刀库轴过速度|T-axis over speed
刀库轴异常脉波控制命令|Abnormal pulse control command of T-axis
刀库轴位置检出器异常|T-axis position detector is abnormal
刀库轴校正异常|T-axis correction error
刀库轴紧急停止|T-axis emergency stop
刀库轴反向极限异常|T-axis reverse limit error
刀库轴正向极限异常|T-axis positive limit error
刀库轴IGBT过热|T-axis IGBT overheating
刀库轴记忆体异常|T-axis memory abnormality
刀库轴检出器输出异常|T-axis detector output is abnormal
刀库轴串列通讯异常|Serial communication error of T-axis
刀库轴串列通讯逾时|Serial communication timeout of T-axis
刀库轴主回路电源异常|Main circuit power supply error of T-axis
刀库轴预先过载警告|T-axis pre-overload warning
刀库轴编码器初始磁场错误|Initial magnetic field error of T-axis encoder
刀库轴编码器内部错误|Internal error of T-axis encoder
刀库轴编码器内部资料可靠度错误|Internal data reliability error of T-axis encoder
刀库轴编码器内部重置错误|Internal reset error of T-axis encoder
刀库轴编码器高电压错误或编码器内部错误|High voltage error or internal error of T-axis encoder
刀库轴格雷码错误|T-axis gray code error
刀库轴电机碰撞错误|T-axis motor collision error
刀库轴电机U、V、W接线错误|T-axis motor U, V, W wiring error
刀库轴编码器内部通讯异常|Internal communication error of T-axis encoder
刀库轴全闭环位置控制误差过大|Full closed loop position control error of T-axis is too large
刀库轴光学尺断线|Optical ruler of T-axis broken
刀库轴类比速度电压输入过高|T-axis analog speed voltage input is too high
刀库轴驱动器功能使用警告|T-axis driver function use warning
刀库轴电子齿轮比设定错误|Electronic gear ratio setting of T-axis is incorrect
刀库轴绝对位置遗失|Absolute position of T-axis is missing
刀库轴编码器低电压错误|Low voltage error of T-axis encoder
刀库轴绝对型位置圈数溢位|Absolute position cycle number of T-axis overflow
刀库轴温度警告|T-axis temperature warning
刀库轴绝对型资料I/O传输错误|Absolute data I/O transmission error for T-axis
刀库轴马达型式错误|T-axis motor type error
刀库轴绝对值位置未初始化|Absolute value position of T-axis is not initialized
刀库轴编码器处置未完成警告|T-axis encoder disposal incompletion warning
刀库轴驱动器输出电流过大|T-axis driver output current is too large
刀库轴回生异常|T-axis retrogradation error
刀库轴未接外部回生电阻|T-axis is not connected to external retrogradation resistance
刀库轴DSP韧体升级|T-axis DSP firmware upgrade
刀库轴CANopen SDO 接收溢位|T-axis CANopen SDO receives overflow
刀库轴CANopen PDO 接收溢位|T-axis CANopen PDO receives overflow
刀库轴CANopen PDO 存取时，Index错误|Index error during T-axis CANopen PDO access
刀库轴CANopen PDO 存取时，Sub-Index错误|Sub-Index error during T-axis CANopen PDO access
刀库轴CANopen PDO 存取时，资料Size错误|Data size error when T-axis CANopen PDO is accessed
刀库轴CANopen PDO 存取时，资料范围错误|Data range error during T-axis CANopen PDO access
刀库轴CANopen PDO 物件是唯读，不可写入|T-axis CANopen PDO objects are read-only and cannot be written
刀库轴CANopen PDO 物件，不允许PDO|CANopen PDO object for T-axis, PDO is not allowed
刀库轴CANopen PDO 物件，Servo On时，不允许写入|CANopen PDO object of T-axis, when Servo On, write is not allowed
刀库轴由EEPRON读取CANopen PDO物件时发生错误|An error occurred when T axis reads the CANopen PDO object by EEPRON
刀库轴CANopen PDO物件，写入EEPROM时错误|CANopen PDO object of T-axis, error occurs in writing to EEPROM
刀库轴CANopen PDO物件，EEPROM的位置超过限制|CANopen PDO object of T-axis, EEPROM location exceeds limit
刀库轴CANopen PDO物件，EEPROM的CRC计算错误|T axis CANopen PDO object, CRC calculation error of EEPROM
刀库轴CANopen PDO物件，写入密码错误|CANopen PDO object of T-axis, password writing error
刀库轴心跳监控或节点保护功能错误（Servo On）|T axis heartbeat monitoring or Node protection function error（Servo On）
刀库轴心跳监控或节点保护功能错误（Servo Off）|T-axis heartbeat monitoring or node protection function error (Servo Off)
刀库轴CAN Bus硬体异常（警告）|T-axis CAN Bus hardware error (warning)
刀库轴CAN Bus硬体异常（Bus-off）|T-axis CAN Bus hardware error (Bus-off)
刀库轴CANNopen资料初始错误|Initial error of T-axis CANNopen data
刀库轴PR 命令 Type 8 指令来源组超出范围|T-axis PR command Type 8 instruction source group is out of range
刀库轴PR 命令 Type 8 指令来源参数号码超出范围|T-axis PR command Type 8 instruction source parameter number is out of range
刀库轴PR 命令 Type 8 指令参数设定错误|T-axis PR command Type 8 instruction parameter setting error
刀库轴写入参数：唯读|T-axis write parameter: read only
刀库轴写入参数：参数锁定|T-axis write parameter: parameter lock
刀库轴PR 命令 Type 8指令设定来源监视项目代码超出范围|T-axis PR command Type 8 instruction setting source monitoring item code is out of range
刀库轴PR 命令异常|T-axis PR command error
刀库轴分度坐标未定义|T-axis indexing coordinates are undefined
刀库轴软体正极限|T-axis software positive limit
刀库轴软体负极限|T-axis software negative limit
刀库轴计数器溢位|T-axis counter overflow
刀库轴Servo OFF异常|T-axis Servo Off error
刀库轴CANopen同步失效（Servo On）|T-axis CANopen synchronization failure (Servo On)
刀库轴CANopen同步信号过快|T-axis CANopen synchronization signal is too fast
刀库轴CANopen同步信号超时|T-axis CANopen synchronization signal timed out
刀库轴XCAN open命令失效（Servo On）|T-axis XCAN open command is invalid (Servo On)
刀库轴SUNC Period 错误（Servo On）|T-axis SUNC Period error (Servo On)
刀库轴CANopen同步失效（Servo Off）|T-axis CANopen synchronization failure (Servo Off)
刀库轴CANopen同步信号太快（Servo Off）|T-axis CANopen synchronization signal is too fast (Servo Off)
刀库轴CANopen同步信号超时（Servo Off）|T-axis CANopen synchronization signal timed out (Servo Off)
刀库轴CANopen IP 命令失效（Servo Off）|T-axis CANopen IP command is invalid (Servo Off)
刀库轴SYNC period错误（Servo Off）|T-axis SYNC period error (Servo Off)
刀库轴分度坐标错误|T-axis indexing coordinate error
刀库轴Servo On时收到NMT Reset 命令|T-axis NMT Reset command is received when Servo On
刀库轴PR 特殊滤波设置太大|T-axis PR special filter is set too large
刀库轴系统故障|T-axis system failure
排钻预热提醒|Remind of Preheating Drill Head
上料机急停报警|Loader EMG Alarm
下料机急停报警|Unloader EMG Alarm
安全门未正确关闭报警|Safty Door Is Not Properly Closed
外罩急停|Cover EMG Stop
推料下降位置超过限位|Pusher Falling Position Exceeds Limit
自动对刀程序进行中，轴无法停转|Spindle can't stop while auto tool setting program is running
放刀过程中刀位有刀报警|Tool Position Busy during Tool Placement
取刀过程中刀位无刀报警|Tool Position Empty during Tool Placement
推料下超限制|Pusher Falling Position Exceeds Limit
排钻在下干涉报警|Interference occurs while drill head is falling down
台面破真空异常|Vacuum Breaking Error for Table
夹刀异常|Clamp Error
松刀异常|Unclamp Error
破真空异常|Vacuum Breaking Error
OUt1 逆变单元U相保护|OUt1 Inverter Unit U Phase Protection
OUt2 逆变单元V相保护|OUt2 Inverter Unit V Phase Protection
OUt3 逆变单元W相保护|OUt3 Inverter Unit W Phase Protection
OV1 加速过电压|OV1 Acceleration Overvoltage
OV2 减速过电压|OV2 Deceleration Overvoltage
OV3 恒速过电压|OV3 Constant Speed Overvoltage
OC1 加速过电流|OC1 Acceleration Overcurrent
OC2 减速过电流|OC2 Deceleration Overcurrent
OC3 恒速过电流|OC3 Constant Speed Overcurrent
UV 母线欠电压|UV Bus Undervoltage
OL1 电机过载|OL1 Motor Overload
OL2 变频器过载|The OL2 Converter Overload
SPI 输入侧缺项|SPI Missing Term on Input Side
SPO 输出侧缺项|SPO Missing Term on Output Side
OH1 整流模块过热|OH1 Rectifier Module Overheating
OH2 逆变模块过热故障|OH2 Inverter Module Overheating Fault
EF 外部故障|EF External Fault
CE 485通讯故障|CE 485 Communication Failure
ItE 电流检测故障|ItE Current Detection Fault
tE 电机自学习故障|tE Motor Self-Learning Fault
EEP EEPROM操作故障|EEP EEPROM Operation Failure
PID 反馈断线故障|PID Feedback Disconnection Fault
bCE 制动单元故障|bCE Brake Unit Fault
END 运行时间到达|END Running Time Reaches
OL3 电子过载故障|OL3 Electronic Overload Failure
PCE 键盘通讯错误|PCE Keyboard Communication Error
UPE 参数上传错误|UPE Parameter Upload Error
DNE 参数下载错误|DNE Parameter Download Error
ETH1 对地短路故障1|ETH1 Ground Short Circuit Fault 1
ETH2 对地短路故障2|ETH2 Ground Short Circuit Fault 2
LL 电子欠载故障|LL Electron Underload Fault
面板急停按钮|Panel EMG
大主轴1降|Spindle 1 down
大X侧急停按钮|Left EMG
大主轴2降|Spindle 2 down
小X侧急停按钮|Right EMG
小主轴1降|Spindle 3 down
启动按钮|Start
小主轴2降|Spindle 4 down
暂停按钮|Pause
真空泵启动|Vacuum Pump
复位按钮|Reset
脚踏开关|Pedal
真空破坏|Vacuum Break
工件原点按钮|Origin
报警异常灯|Alarm Light
上料机到位|Loader in Place
程式结束灯|Finish Light
下料机暂停|Unloader Pause
程式运行灯|Running Light
推料上到位|Pusher up-in-Place
推料下到位|Pusher down-in-Place
抓料上到位|Loader up-in-Place
变频器1电机热过载|Inverter 1 Motor Thermal Overload
抓料真空吸附|Loader Vac-Sorb
变频器2电机热过载|Inverter 2 Motor Thermal Overload
抓料真空破坏|Loader Vacuum Break
下料机启动|Unloader Start
Z轴配重气缸|Z-Axis Weight Cylinder
大主轴1启动|Spindle 1 Start
大主轴1上到位|Spindle 1 up in Place
大主轴2启动|Spindle 2 Start
大主轴1下到位|Spindle 1 down in Place
小主轴1启动|Spindle 3 Start
大主轴2上到位|Spindle 2 up in Place
小主轴2启动|Spindle 4 Start
大主轴2下到位|Spindle 2 down in Place
对刀仪吹气|Tool Setting Gauge Blow
小主轴1上到位|Spindle 3 up in Place
Y定位杆升|Y Locating Rod up
小主轴1下到位|Spindle 3 down in Place
X定位杆升|X Locating Rod up
小主轴2上到位|Spindle 4 up in Place
小主轴2下到位|Spindle 4 down in Place
大主轴1启动OK|Spindle 1 Start OK
大主轴2启动OK|Spindle 2 Start OK
小主轴1启动OK|Spindle 3 Start OK
上下料急停|Loadling/Unloading EMG
小主轴2启动OK|Spindle 4 Start OK
禁用|Disable
X侧靠前推到位|X Side Aligner Forward in Place
Y侧靠后退到位|Y Side Aligner Backward in Place
气压OK|Air Pressure OK
真空压力OK|Vacuum Pressure OK
Y定位气缸下到位|Y Positioning Cylinder down in Place
X定位气缸下到位|X Positioning Cylinder down in Place
贴标到位|Labeler in Place
上料机急停|Loader EMG
下料机急停|Unloader EMG
X侧靠后退到位|X Side Aligner Backward in Place
N启动按钮|N Start Button
N真空总控|N Vacuum
M真空压力OK|M Vacuum Pressure OK
N真空破坏|N Vacuum Break
M启动按钮|M Start
N启动指示灯|N Start Light
推料除尘退回|Pusher Dedusting Return
推料除尘|Pusher Dedusting
变频器1 主轴热过载|Inverter 1 Spindle Thermal Overload
变频器2 主轴热过载|Inverter 2 Spindle Thermal Overload
M真空破坏|M Vacuum Break
M启动指示灯|M Start Light
N定位杆Y升|N Locating Rod Y up
M定位杆Y升|M Locating Rod Y up
真空泵2启动|Vacuum Pump 2
N定位杆X升|N Locating Rod X up
M定位杆X升|M Locating Rod X up
N真空压力OK|M Vacuum Pressure OK
N定位气缸Y下到位|N Locating Cylinder Y down in Place
M定位气缸Y下到位|M Locating Cylinder Y down in Place
N定位气缸X下到位|N Locating Cylinder X down in Place
M定位气缸X下到位|M Locating Cylinder X down in Place
N紧急停止按钮|N EMG
M紧急停止按钮|M EMG
